description	ground truth	output
The molecule is a energy source, inflammatory, nutrient that impacts obesity, atherosclerosis, and metabolic syndrome. The molecule is a energy storage that impacts both pancreatitis and cardiovascular disease. The molecule is a membrane stabilizer and fat storage, belonging to the thyroxine treatment class of molecules, with an effect on cancer.	CCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a energy source, energy storage, nutrient that impacts atherosclerosis, cancer, and cardiovascular disease. The molecule is a member of the thyroxine treatment class and affects both obesity and pancreatitis. The molecule is a membrane stabilizer, a fat storage, and a inflammatory, and it impacts metabolic syndrome.	CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCC(C)CC	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
The molecule is a stabilizing cytochrome oxidase, a energy storage, and a cholesterol translocation, and it impacts barth syndrome. The molecule is a membrane stabilizer, proton trap for oxidative phosphorylation, energy source that impacts aging and tangier disease. The molecule is a nutritional supplement, a surfactant, and a emulsifier, and it impacts diabetic heart disease. The molecule is a apoptosis, a stabilizing mitochondrial structure, and a food additive, it impacts non-alcoholic fatty liver disease and is smooth.	CCC(C)CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
It impacts insulin resistance.	CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is both a protease inhibitor and a thrombin inhibitor.	CCC(O)Oc1cc(C)cc(OS(=O)(=O)c2cccnc2)c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a apoptosis, stabilizing cytochrome oxidase, stabilizing mitochondrial structure that impacts non-alcoholic fatty liver disease and aging. The molecule is a proton trap for oxidative phosphorylation and a cholesterol translocation that impacts tangier disease, barth syndrome, and diabetic heart disease.	CCCCCC/C=C\C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a apoptosis and a cholesterol translocation that impacts barth syndrome, aging, and non-alcoholic fatty liver disease. The molecule is a stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation, stabilizing mitochondrial structure that impacts diabetic heart disease and tangier disease.	CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
It has an effect on stomach cancer, and impacts diabetes mellitus, seizure, and alzheimer's disease. It influences both breast cancer and colorectal cancer, as well as affecting parkinson's disease and cardiovascular disease.	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CC[C@@H](O)CC)COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O)C1O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O)C1O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a nutrient that affects cancer by impacting cardiovascular disease, pancreatitis, obesity, and metabolic syndrome. The molecule is a energy source, a energy storage, and a inflammatory. The molecule is a membrane stabilizer and a fat storage, impacting both atherosclerosis and thyroxine treatment.	CCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COC(=O)CCCCCCCCC(C)CC	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is cancer treatment.	Cc1[nH]cc(Br)c(=O)c1C(=O)O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a akt inhibitor and belongs to the cancer treatment class of molecules.	Cc1nc(N2CCOCC2)cc(=O)[nH]1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a prmt5 inhibitor.	CCN(C)c1nc(NC2COC2)cc(C(=O)O)n1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
It belongs to the tumor treatment class of molecules.	CCCN(Cc1cc2c(cc1C)OCO2)C(=O)C1OC(=O)OC1CC=O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a protein kinase inhibitor.	CN(C)CCOc1ccc(Nc2ncc3scc(-c4cccc(NS(C)(=O)=O)c4)c3n2)cn1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing cytochrome oxidase, stabilizing mitochondrial structure, proton trap for oxidative phosphorylation that impacts tangier disease and aging. The molecule is a cholesterol translocation and a apoptosis that impacts diabetic heart disease, barth syndrome, and non-alcoholic fatty liver disease.	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a inflammatory, fat storage, nutrient that impacts metabolic syndrome, pancreatitis, and obesity. The molecule is a energy storage that impacts both cancer and cardiovascular disease. The molecule is a energy source and a membrane stabilizer, impacting both thyroxine treatment and atherosclerosis.	CCC(C)CCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
The molecule is a nutrient.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC[C@@H](O)[C@H](O)C/C=C\CCCCC)COP(=O)(O)OC[C@H](N)C(=O)O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a factor xa inhibitor that is anti coagulant and anti coagulant agent.	NC(=O)CNC(=O)c1ccc(N2C=NCCC2)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing cytochrome oxidase and a apoptosis that impacts aging, tangier disease, and diabetic heart disease. The molecule is a proton trap for oxidative phosphorylation, stabilizing mitochondrial structure, cholesterol translocation that impacts non-alcoholic fatty liver disease and barth syndrome.	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a cholesterol translocation, apoptosis, stabilizing cytochrome oxidase that impacts diabetic heart disease and aging. The molecule is a proton trap for oxidative phosphorylation and a stabilizing mitochondrial structure that impacts tangier disease, non-alcoholic fatty liver disease, and barth syndrome.	CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a dielectric.	CCCc1ccc(-c2ccc(CCC(F)(F)Oc3ccc(F)c(F)c3)cc2)c(F)c1F	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a nutrient that impacts non-alcoholic fatty liver disease, diabetes mellitus type 2, parkinson's disease, and alzheimer's disease.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a inflammatory, nutrient, fat storage that impacts cardiovascular disease, pancreatitis, and metabolic syndrome. The molecule is a thyroxine treatment and energy storage, and it impacts atherosclerosis. The molecule is a energy source and a membrane stabilizer, impacting both cancer and obesity.	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a nutrient.	CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C=C\C(=O)CCCCC)COP(=O)(O)OC[C@H](N)C(=O)O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a monoamine reuptake inhibitor and is anti depressant.	CCCCC1(C(=O)c2cc3cc[nH]c3c(F)c2F)CCNC1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a membrane stabilizer, energy source, energy storage that impacts atherosclerosis, obesity, and metabolic syndrome. The molecule is a inflammatory that impacts both cardiovascular disease and pancreatitis. The molecule is a fat storage and nutrient, thyroxine treatment, and has an effect on cancer.	CCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)COC(=O)CCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C
It impacts neurological treatment.	COC(=O)N1CCC(C2(O)OCCO2)C(=O)C1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a proton trap for oxidative phosphorylation and a cholesterol translocation that impacts tangier disease, non-alcoholic fatty liver disease, and diabetic heart disease. The molecule is a stabilizing mitochondrial structure, apoptosis, stabilizing cytochrome oxidase that impacts barth syndrome and aging.	CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC
It impacts cancer treatment.	Nc1nc(NC2Cc3ccccc3N(S(=O)(=O)c3ccc(Oc4ccccc4)cc3)C2)c2cn[nH]c2n1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a nutrient that impacts parkinson's disease, diabetes mellitus type 2, alzheimer's disease, and non-alcoholic fatty liver disease.	CCCCC/C=C\C/C=C\C/C=C\CC1OC1CCCC(=O)O[C@H](CO/C=C/CCCCCCCCCCCCCC)COP(=O)(O)OCCN	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a apoptosis, stabilizing mitochondrial structure, stabilizing cytochrome oxidase that impacts aging and barth syndrome. The molecule is a cholesterol translocation and a proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease, tangier disease, and diabetic heart disease.	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a energy storage and a fat storage that impacts metabolic syndrome, obesity, cancer, and cardiovascular disease. The molecule is a membrane stabilizer, a inflammatory, and thyroxine treatment. The molecule is a energy source and a nutrient, impacting both pancreatitis and atherosclerosis.	CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
The molecule is a stabilizing mitochondrial structure, cholesterol translocation, stabilizing cytochrome oxidase that impacts diabetic heart disease and barth syndrome. The molecule is a proton trap for oxidative phosphorylation and a apoptosis that impacts aging, non-alcoholic fatty liver disease, and tangier disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a apoptosis, cholesterol translocation, stabilizing cytochrome oxidase that impacts tangier disease and aging. The molecule is a stabilizing mitochondrial structure and a proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease, barth syndrome, and diabetic heart disease.	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a organic optoelectronic device and is optoelectronic.	C=CC=Cc1[nH]c2cc(-c3ccccc3)ccc2c1C	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a nutrient.	C=CCSSC(CC)S(C)=O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a proton trap for oxidative phosphorylation and a energy storage, impacting both aging and barth syndrome. The molecule is a food additive, a emulsifier, and a surfactant, it impacts non-alcoholic fatty liver disease and is smooth. The molecule is a stabilizing cytochrome oxidase, a stabilizing mitochondrial structure, and a nutritional supplement, and it impacts diabetic heart disease. The molecule is a membrane stabilizer, energy source, apoptosis, cholesterol translocation that impacts tangier disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a cholesterol translocation, a stabilizing cytochrome oxidase, and a nutritional supplement, and it impacts aging. The molecule is a emulsifier, energy source, membrane stabilizer, energy storage that impacts non-alcoholic fatty liver disease. The molecule is a apoptosis, a proton trap for oxidative phosphorylation, and a food additive, and it impacts diabetic heart disease. The molecule is a stabilizing mitochondrial structure and a surfactant, which impacts both tangier disease and barth syndrome, and is characterized as smooth.	CCCCCC/C=C\C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a cancer treatment.	CCc1cc(-c2ccccc2)nnc1Nc1ccc(Oc2ncccc2-c2ccnc(NCCCN3CCCCC3)n2)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase, apoptosis that impacts diabetic heart disease and aging. The molecule is a stabilizing mitochondrial structure and a cholesterol translocation that impacts non-alcoholic fatty liver disease, barth syndrome, and tangier disease.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a cholesterol translocation and a stabilizing cytochrome oxidase that impacts non-alcoholic fatty liver disease, barth syndrome, and aging. The molecule is a proton trap for oxidative phosphorylation, stabilizing mitochondrial structure, apoptosis that impacts tangier disease and diabetic heart disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is anti retroviral.	C=C(C)COC(C)C(NC(=O)OC(C)(C)C)C(=O)OC	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a hcv inhibitor and is anti viral.	CCOc1ccc2c(C(C)=O)c(-c3ccc(NC(=O)NC4CCC4)cc3)n(C3CCC3)c2c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a nutrient that impacts non-alcoholic fatty liver disease, alzheimer's disease, parkinson's disease, and diabetes mellitus type 2.	CCCCC/C=C\C[C@@H](O)[C@H](O)CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C/CCCCCCCC/C=C\CCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a stabilizing cytochrome oxidase, apoptosis, proton trap for oxidative phosphorylation that impacts aging and tangier disease. The molecule is a cholesterol translocation and a stabilizing mitochondrial structure that impacts diabetic heart disease, barth syndrome, and non-alcoholic fatty liver disease.	CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC)OC(=O)CCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is inflammation treatment.	CC1CCCC(O)(C#Cc2nc(N)c3ncn(C4OC(C(=O)NC5CC5)C(O)C4O)c3n2)C1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a anti viral that impacts hiv treatment.	Nc1ncc2ncn(C3COC(CO)O3)c2n1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation and a apoptosis that impacts diabetic heart disease, barth syndrome, and aging. The molecule is a proton trap for oxidative phosphorylation, stabilizing mitochondrial structure, stabilizing cytochrome oxidase that impacts non-alcoholic fatty liver disease and tangier disease.	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
